Date,ARRIVAL_DELAY,MONTH,DAY,DAY_OF_WEEK,AIR_TIME,DEPARTURE_TIME,DISTANCE,AIRLINE,FLIGHT_NUMBER,DESTINATION_AIRPORT,ORIGIN_AIRPORT
1990-01-06,-22.0,1,1,4,169.0,2354.0,1448,AS,98,SEA,ANC
1990-01-05,-9.0,1,1,4,263.0,2.0,2330,AA,2336,PBI,LAX
1990-01-10,5.0,1,1,4,266.0,18.0,2296,US,840,CLT,SFO
1990-01-09,-9.0,1,1,4,258.0,15.0,2342,AA,258,MIA,LAX
1990-01-05,-21.0,1,1,4,199.0,24.0,1448,AS,135,ANC,SEA
1990-01-07,8.0,1,1,4,206.0,20.0,1589,DL,806,MSP,SFO
1990-01-03,-17.0,1,1,4,154.0,19.0,1299,NK,612,MSP,LAS
1990-01-05,-10.0,1,1,4,228.0,44.0,2125,US,2013,CLT,LAX
1990-01-10,-13.0,1,1,4,173.0,19.0,1464,AA,1112,DFW,SFO
1990-01-09,-15.0,1,1,4,186.0,33.0,1747,DL,1173,ATL,LAS
1990-01-10,-30.0,1,1,4,133.0,24.0,1199,DL,2336,ATL,DEN
1990-01-03,-10.0,1,1,4,238.0,27.0,2174,AA,1674,MIA,LAS
1990-01-03,-4.0,1,1,4,188.0,35.0,1535,DL,1434,MSP,LAX
1990-01-07,-22.0,1,1,4,176.0,34.0,1590,DL,2324,ATL,SLC
1990-01-05,8.0,1,1,4,166.0,39.0,1399,DL,2440,MSP,SEA
1990-01-06,-14.0,1,1,4,173.0,41.0,1448,AS,108,SEA,ANC
1990-01-06,-24.0,1,1,4,171.0,31.0,1448,DL,1560,SEA,ANC
1990-01-06,-7.0,1,1,4,199.0,42.0,1635,UA,1197,IAH,SFO
1990-01-05,-18.0,1,1,4,187.0,46.0,1542,AS,122,PDX,ANC
1990-01-04,-12.0,1,1,4,171.0,45.0,1426,DL,1670,MSP,PDX
1990-01-03,6.0,1,1,4,128.0,120.0,1139,NK,520,MCI,LAS
1990-01-07,1.0,1,1,4,311.0,52.0,2724,AA,371,MIA,SEA
1990-01-04,-1.0,1,1,4,128.0,102.0,1055,NK,214,DFW,LAS
1990-01-03,-12.0,1,1,4,255.0,103.0,2342,AA,115,MIA,LAX
1990-01-06,-23.0,1,1,4,150.0,102.0,1299,DL,1450,MSP,LAS
1990-01-03,-11.0,1,1,4,156.0,112.0,1379,UA,1545,IAH,LAX
1990-01-03,-3.0,1,1,4,186.0,107.0,1533,AS,130,SEA,FAI
1990-01-05,25.0,1,1,4,166.0,127.0,1487,NK,597,FLL,MSP
1990-01-06,-31.0,1,1,4,205.0,110.0,1916,US,413,CLT,LAS
1990-01-09,2.0,1,1,4,188.0,141.0,1709,AA,2392,MIA,DEN
1990-01-03,43.0,1,1,4,156.0,237.0,1440,NK,168,ORD,PHX
1990-01-06,-16.0,1,1,4,217.0,116.0,1972,AA,2211,MIA,PHX
1990-01-04,10.0,1,1,4,182.0,134.0,1590,DL,95,ATL,SLC
1990-01-05,-4.0,1,1,4,148.0,140.0,1222,NK,298,IAH,LAS
1990-01-07,15.0,1,1,4,361.0,145.0,2762,HA,17,HNL,LAS
1990-01-08,-10.0,1,1,4,298.0,143.0,2552,US,617,PHX,ANC
1990-01-03,-11.0,1,1,4,220.0,157.0,1608,UA,1528,EWR,SJU
1990-01-07,-35.0,1,1,4,170.0,140.0,1448,AS,134,SEA,ANC
1990-01-05,11.0,1,1,4,231.0,153.0,1598,B6,304,JFK,SJU
1990-01-06,-33.0,1,1,4,174.0,139.0,1334,NK,451,FLL,PBG
1990-01-10,1.0,1,1,4,103.0,158.0,868,NK,972,DFW,PHX
1990-01-03,-11.0,1,1,4,182.0,150.0,1542,AS,144,PDX,ANC
1990-01-09,-11.0,1,1,4,149.0,155.0,1176,NK,647,FLL,IAG
1990-01-04,4.0,1,1,4,239.0,152.0,1608,B6,1990,EWR,SJU
1990-01-05,-36.0,1,1,4,183.0,209.0,1773,US,699,CLT,PHX
1990-01-05,-12.0,1,1,4,176.0,209.0,1448,AS,114,SEA,ANC
1990-01-04,-9.0,1,1,4,169.0,248.0,1179,B6,668,MCO,PSE
1990-01-10,6.0,1,1,4,225.0,258.0,1585,UA,1162,EWR,BQN
1990-01-10,20.0,1,1,4,160.0,304.0,1129,B6,1030,MCO,BQN
1990-01-06,-16.0,1,1,4,224.0,316.0,1674,B6,262,BOS,SJU
1990-01-04,85.0,1,1,4,163.0,535.0,1189,B6,2134,MCO,SJU
1990-01-04,-7.0,1,1,4,148.0,423.0,1129,B6,730,MCO,BQN
1990-01-07,-1.0,1,1,4,166.0,413.0,1179,B6,768,MCO,PSE
1990-01-09,89.0,1,1,4,237.0,550.0,1666,B6,2276,BDL,SJU
1990-01-08,3.0,1,1,4,214.0,459.0,1440,US,602,PHX,ORD
1990-01-06,0.0,1,1,4,39.0,456.0,224,AS,695,SEA,GEG
1990-01-07,-6.0,1,1,4,35.0,452.0,216,HA,102,ITO,HNL
1990-01-10,9.0,1,1,4,61.0,513.0,363,OO,5467,SFO,ONT
1990-01-04,5.0,1,1,4,30.0,501.0,163,HA,108,KOA,HNL
1990-01-06,-14.0,1,1,4,179.0,457.0,1448,AS,730,SEA,ANC
1990-01-09,-11.0,1,1,4,20.0,454.0,100,HA,206,OGG,HNL
1990-01-07,11.0,1,1,4,147.0,514.0,925,UA,1500,IAH,ORD
1990-01-08,-11.0,1,1,4,38.0,507.0,192,AA,1323,MIA,MCO
1990-01-04,-10.0,1,1,4,112.0,506.0,738,NK,103,MYR,BOS
1990-01-07,0.0,1,1,4,35.0,500.0,174,OO,7404,MSP,HIB
1990-01-03,-4.0,1,1,4,41.0,508.0,257,OO,7419,MSP,ABR
1990-01-04,-2.0,1,1,4,146.0,510.0,1107,US,480,PHX,SEA
1990-01-04,102.0,1,1,4,133.0,703.0,1121,AA,1057,MIA,DFW
1990-01-09,2.0,1,1,4,182.0,510.0,1258,AA,2454,MIA,BOS
1990-01-04,13.0,1,1,4,163.0,517.0,984,EV,4354,IAH,MKE
1990-01-10,60.0,1,1,4,132.0,620.0,1009,US,425,PHX,PDX
1990-01-04,54.0,1,1,4,111.0,618.0,964,AA,89,MIA,IAH
1990-01-05,-6.0,1,1,4,66.0,511.0,456,DL,2099,DTW,BNA
1990-01-10,-5.0,1,1,4,49.0,517.0,308,EV,4685,IAH,BRO
1990-01-06,-15.0,1,1,4,42.0,514.0,250,EV,5583,ATL,VPS
1990-01-06,3.0,1,1,4,79.0,525.0,522,OO,5484,SFO,BOI
1990-01-05,9.0,1,1,4,34.0,517.0,199,OO,7370,MSP,BJI
1990-01-05,-12.0,1,1,4,21.0,513.0,102,HA,103,LIH,HNL
1990-01-07,5.0,1,1,4,35.0,525.0,214,EV,5187,ATL,BNA
1990-01-03,6.0,1,1,4,210.0,532.0,1325,UA,1201,IAH,PHL
1990-01-03,4.0,1,1,4,125.0,534.0,991,UA,1221,DEN,PDX
1990-01-05,-1.0,1,1,4,138.0,529.0,1024,UA,1607,DEN,SEA
1990-01-03,66.0,1,1,4,96.0,623.0,641,AA,328,DFW,DEN
1990-01-03,-14.0,1,1,4,22.0,527.0,84,EV,5764,ORD,SBN
1990-01-08,-18.0,1,1,4,128.0,526.0,861,F9,1279,MCO,PHL
1990-01-06,-25.0,1,1,4,149.0,526.0,1182,NK,409,FLL,ORD
1990-01-05,13.0,1,1,4,143.0,526.0,996,OO,6391,DEN,EUG
1990-01-09,26.0,1,1,4,127.0,550.0,967,UA,1532,DEN,SFO
1990-01-09,3.0,1,1,4,142.0,540.0,888,UA,1167,DEN,ORD
1990-01-07,14.0,1,1,4,194.0,541.0,1190,UA,1012,IAH,IAD
1990-01-09,-15.0,1,1,4,56.0,530.0,301,B6,2001,JFK,BUF
1990-01-05,-25.0,1,1,4,50.0,528.0,273,B6,2807,JFK,PWM
1990-01-05,19.0,1,1,4,184.0,618.0,1598,B6,2023,SJU,JFK
1990-01-05,-21.0,1,1,4,33.0,523.0,201,EV,4557,IAH,CRP
1990-01-06,-18.0,1,1,4,54.0,530.0,346,EV,5241,DTW,PIA
1990-01-03,-3.0,1,1,4,41.0,550.0,235,EV,5498,DTW,ORD
1990-01-10,0.0,1,1,4,42.0,530.0,209,OO,6512,LAX,FAT
1990-01-04,78.0,1,1,4,129.0,634.0,909,UA,1577,DEN,SMF
1990-01-03,-16.0,1,1,4,173.0,535.0,1242,OO,4986,LAX,AUS
1990-01-04,-21.0,1,1,4,66.0,536.0,369,B6,727,BWI,BOS
1990-01-05,-33.0,1,1,4,95.0,529.0,867,B6,1012,BOS,ORD
1990-01-03,128.0,1,1,4,178.0,808.0,1671,DL,824,DTW,PHX
1990-01-04,-15.0,1,1,4,84.0,546.0,692,DL,941,ATL,MCI
1990-01-06,-21.0,1,1,4,105.0,537.0,632,DL,2079,DTW,BOS
1990-01-10,14.0,1,1,4,79.0,556.0,534,EV,3268,IAD,ATL
1990-01-05,-14.0,1,1,4,109.0,531.0,820,EV,4160,EWR,JAX
1990-01-03,25.0,1,1,4,138.0,538.0,964,OO,6285,DEN,MFR
1990-01-05,-16.0,1,1,4,158.0,537.0,1195,OO,5184,IAH,SLC
1990-01-10,7.0,1,1,4,72.0,539.0,458,OO,6358,DEN,IDA
1990-01-09,-11.0,1,1,4,128.0,534.0,826,F9,161,DEN,MSN
1990-01-06,-21.0,1,1,4,36.0,543.0,237,OO,4833,DTW,MKE
1990-01-03,-6.0,1,1,4,107.0,542.0,836,UA,1119,DEN,GEG
1990-01-07,11.0,1,1,4,238.0,541.0,1874,UA,1237,IAH,SEA
1990-01-07,-7.0,1,1,4,182.0,550.0,1208,UA,1540,IAH,DCA
1990-01-06,-12.0,1,1,4,41.0,539.0,247,AA,1433,DFW,SAT
1990-01-03,69.0,1,1,4,152.0,640.0,1089,AA,2299,MIA,JFK
1990-01-03,-9.0,1,1,4,170.0,551.0,1197,B6,721,PBI,BOS
1990-01-10,-13.0,1,1,4,44.0,543.0,187,B6,917,JFK,BOS
1990-01-05,-19.0,1,1,4,180.0,545.0,1576,B6,939,BQN,JFK
1990-01-07,-2.0,1,1,4,86.0,603.0,731,DL,1890,ATL,DFW
1990-01-07,1.0,1,1,4,91.0,540.0,628,EV,4646,EWR,CHS
1990-01-04,17.0,1,1,4,120.0,621.0,896,F9,365,DEN,MKE
1990-01-10,-8.0,1,1,4,104.0,538.0,680,F9,117,DEN,MSP
1990-01-10,56.0,1,1,4,112.0,658.0,862,OO,2599,LAX,DEN
1990-01-06,10.0,1,1,4,134.0,542.0,916,OO,5482,DEN,SBA
1990-01-06,-6.0,1,1,4,27.0,540.0,163,HA,218,KOA,HNL
