Model,Model #,Parameters,Score,Tuning_Type
LightGBM,16,"{'Random State': 42, 'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'reg_lambda': 0.2}","(0.95704255340663, 0.8226301291219213)",Grid Search
LightGBM,15,"{'reg_lambda': 0.7000000000000001, 'num_boost_round': 100, 'n_estimators': 475, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.2, 'colsample_bytree': 0.30000000000000004, 'Random State': 42}","(0.9923770403339932, 0.8271807052473561)",Random Search
XGBoost,14,"{'reg_lambda': 0.5, 'num_boost_round': 100, 'n_estimators': 250, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.30000000000000004, 'colsample_bytree': 0.9, 'Random State': 42}","(0.9978945556090214, 0.8416765422391926)",Random Search
LightGBM,13,"{'max_depth': 5, 'learning_rate': 0.2, 'Num Estimators': 50, 'min_data_child_weight': 1, 'Reg Lambda': 0.2, 'colsample_bytree': 0.2, 'Random State': [42]}","(0.8366608972996028, 0.7572403642829462)",Manual
XGBoost,12,"{'Depth': 5, 'Min Child Weight': 1, 'Num Estimators': 50, 'Learning Rate': 0.2, 'Reg Lambda': 0.2, 'colsample_bytree': 0.2, 'Random State': 42}","(0.942257165344309, 0.7589278061498246)",Manual
XGBoost,11,"{'Depth': 5, 'Min Child Weight': 1, 'Num Estimators': 50, 'Learning Rate': 0.2, 'Reg Lambda': 0.2, 'colsample_bytree': 0.2, 'Random State': 42}","(0.942257165344309, 0.7589278061498246)",Manual
LightGBM,10,"{'max_depth': 5, 'learning_rate': 0.2, 'Num Estimators': 50, 'min_data_child_weight': 1, 'Reg Lambda': 0.2, 'colsample_bytree': 0.2, 'Random State': [42]}","(0.8366608972996028, 0.7572403642829462)",Manual
LightGBM,9,"{'max_depth': 5, 'learning_rate': 0.2, 'Num Estimators': 50, 'min_data_child_weight': 1, 'Reg Lambda': 0.2, 'colsample_bytree': 0.2, 'Random State': [42]}","(0.8366608972996028, 0.7572403642829462)",Manual
XGBoost,8,"{'n_estimators': 50, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.30000000000000004}","(0.9230000602228244, 0.7062464440651447)",Random Search
LightGBM,7,"{'learning_rate': 0.2, 'max_depth': 5, 'min_data_in_leaf': 3, 'n_estimators': 50}","(0.7254561878952123, 0.5892895242159164)",Grid Search
XGBoost,6,"{'Depth': 5, 'Min Child Weight': 1, 'Num Estimators': 50, 'Learning Rate': 0.2}","(0.9363389340560073, 0.7241950252471375)",Manual
LightGBM,5,"{'max_depth': 5, 'learning_rate': 0.2, 'n_estimators': 50, 'min_data_in_leaf': 1}","(0.9770890695573623, 0.7428703506151767)",Manual
XGBoost,4,"{'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1}","(0.9259483288166215, 0.7176232131427353)",Random Search
XGBoost,3,"{'Depth': 5, 'Min Child Weight': 1, 'Num Estimators': 50, 'Learning Rate': 0.2}","(0.9363389340560073, 0.7241950252471375)",Manual
CatBoost,2,"{'Depth': 5, 'Iterations': 50, 'L2 Leaf Reg': 1, 'Learning Rate': 0.2}","(0.8130555856669677, 0.6754676054334685)",Manual
CatBoost,1,"{'Depth': 5, 'Iterations': 50, 'L2 Leaf Reg': 1, 'Learning Rate': 0.2}","(0.8130555856669677, 0.6754676054334685)",Manual
