iter	RMSE
0	225737.7833
1	201811.425
2	177245.4166
3	166911.101
4	157282.3746
5	147442.7229
6	138387.3059
7	134582.7803
8	131484.4698
9	127441.7247
10	121982.7007
11	119530.5008
12	119380.4247
13	118429.2787
14	117100.7492
15	117051.141
16	116332.1489
17	115727.0238
18	115089.1588
19	115068.9626
20	114959.9924
21	114388.5136
22	113863.2087
23	111857.9672
24	109257.0184
25	107921.7532
26	106091.3661
27	104950.5609
28	103788.5443
29	103688.656
30	103630.1237
31	102681.9857
32	102099.1315
33	101921.9227
34	101910.2469
35	100869.3332
36	100062.557
37	98880.59386
38	98880.56112
39	98805.40852
40	98793.68896
41	98665.41984
42	97852.79864
43	97657.03646
44	97644.49497
45	97470.20063
46	97403.67656
47	96919.93222
48	96792.70878
49	96171.85561
50	96153.14286
51	96144.51156
52	95003.003
53	94958.68546
54	94205.19018
55	94195.88743
56	93963.12945
57	93354.94337
58	93290.06185
59	93011.6613
60	92497.43558
61	92482.42661
62	91555.95686
63	91539.0972
64	91377.53708
65	90887.3358
66	90839.09278
67	90626.08404
68	90258.8906
69	89912.71681
70	89722.75744
71	89712.53636
72	89634.22681
73	89513.90931
74	88623.65592
75	88477.24322
76	88463.15294
77	88460.87313
78	88443.14297
79	88439.63343
80	88264.5189
81	87621.82884
82	87620.30669
83	87582.3732
84	87577.56345
85	87576.78955
86	87491.63715
87	87486.77033
88	87464.82843
89	87445.59717
90	87432.16666
91	87015.81356
92	86932.17629
93	86855.66611
94	86250.09095
95	86105.91321
96	86030.97078
97	85758.93678
98	85721.5089
99	85541.63554
