iter	Passed	Remaining
0	79	3880
1	152	3656
2	180	2826
3	223	2569
4	248	2237
5	289	2122
6	319	1960
7	365	1916
8	393	1793
9	430	1723
10	455	1615
11	491	1557
12	518	1476
13	563	1447
14	589	1374
15	631	1342
16	659	1280
17	704	1252
18	731	1192
19	772	1158
20	799	1103
21	859	1093
22	886	1041
23	996	1079
24	1066	1066
25	1093	1009
26	1136	968
27	1159	910
28	1196	866
29	1223	815
30	1266	776
31	1291	726
32	1334	687
33	1357	638
34	1401	600
35	1425	554
36	1463	514
37	1489	470
38	1533	432
39	1556	389
40	1595	350
41	1618	308
42	1660	270
43	1696	231
44	1738	193
45	1777	154
46	1805	115
47	1847	76
48	1872	38
49	1899	0
